supermarket,category,productname,price,baseprice,generalurl,imageurl,viewdate
 ALDI Australia,Beauty ,LACURA® Essentials BB Cream SPF 15 50ml,$7.99,$15.98 per 100ml,https://www.aldi.com.au/en/groceries/beauty/beauty-detail/ps/p/lacura-essentials-bb-cream-spf-15-50ml/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/skin_care/ALN1075_SKIN_CARE_UPDATE_1x1_228x128_6.jpg,2020-09-09 17:25:40
 ALDI Australia,Beauty ,LACURA® Essentials Purify Exfoliating Wash 150ml,$3.79,$2.53 per 100ml,https://www.aldi.com.au/en/groceries/beauty/beauty-detail/ps/p/lacura-essentials-purify-exfoliating-wash-150ml/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/skin_care/ALP0614_WEB_AUDIT_2Q_LACURA_1x1_128x228_.jpg,2020-09-09 17:25:40
 ALDI Australia,Beauty ,LACURA® Essentials Caring Cleansing Gel 150ml,$3.79,$2.53 per 100ml,https://www.aldi.com.au/en/groceries/beauty/beauty-detail/ps/p/lacura-essentials-caring-cleansing-gel-150ml/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/skin_care/ALP0614_WEB_AUDIT_2Q_LACURA_1x1_128x228_2.jpg,2020-09-09 17:25:40
 ALDI Australia,Beauty ,LACURA® Essentials Fine Balance Foaming Cleansing Gel 150ml,$3.79,$2.53 per 100ml,https://www.aldi.com.au/en/groceries/beauty/beauty-detail/ps/p/lacura-essentials-fine-balance-foaming-cleansing-g/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/skin_care/ALP0614_WEB_AUDIT_2Q_LACURA_1x1_128x228_3.jpg,2020-09-09 17:25:40
 ALDI Australia,Beauty ,LACURA® Essentials Fine Balance Cleansing Wipes 30pk,$1.69,6c per wipe,https://www.aldi.com.au/en/groceries/beauty/beauty-detail/ps/p/lacura-essentials-fine-balance-cleansing-wipes-30p/,https://www.aldi.com.au/fileadmin/fm-dam/images/The_Block/Fuelling_the_Block_2016/ALC7782_THE_BLOCK_1x1_228x128_46.jpg,2020-09-09 17:25:40
 ALDI Australia,Beauty ,LACURA® Essentials Caring Cleansing Wipes 30pk,$1.69,6c per wipe,https://www.aldi.com.au/en/groceries/beauty/beauty-detail/ps/p/lacura-essentials-caring-cleansing-wipes-30pk/,https://www.aldi.com.au/fileadmin/fm-dam/images/The_Block/Fuelling_the_Block_2016/ALC7782_THE_BLOCK_1x1_228x128_47.jpg,2020-09-09 17:25:40
 ALDI Australia,Beauty ,LACURA® Essentials Make Up Rounds 80pk,$1.39,$1.74 per 100 rounds,https://www.aldi.com.au/en/groceries/beauty/beauty-detail/ps/p/lacura-essentials-make-up-rounds-80pk/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/skin_care/ALN1075_SKIN_CARE_UPDATE_1x1_228x128_9.jpg,2020-09-09 17:25:40
 ALDI Australia,Beauty ,LACURA® Essentials Cotton Tips 240pk,99,41c per 100 tips,https://www.aldi.com.au/en/groceries/beauty/beauty-detail/ps/p/lacura-essentials-cotton-tips-240pk/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/skin_care/ALN1075_SKIN_CARE_UPDATE_1x1_228x128_10.jpg,2020-09-09 17:25:40
 ALDI Australia,Beauty ,LACURA® Essentials Women's Comfort Touch 3 Blade Disposable Razors 8pk,$3.99,50c per unit,https://www.aldi.com.au/en/groceries/beauty/beauty-detail/ps/p/lacura-essentials-womens-comfort-touch-3-blade-dis/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/skin_care/ALN1075_SKIN_CARE_UPDATE_1x1_228x128_11.jpg,2020-09-09 17:25:40
 ALDI Australia,Beauty ,LACURA® Skin Science Renew Expert Double Effect Eye Gel 15ml,$9.99,$66.60/100ml,https://www.aldi.com.au/en/groceries/beauty/beauty-detail/ps/p/lacura-skin-science-renew-expert-double-effect-eye/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/skin_care/2019/ALN2147_Q4_SKIN-CARE_1x1_228x128_9.jpg,2020-09-09 17:25:40
