supermarket,category,productname,price,baseprice,generalurl,imageurl,viewdate
 ALDI Australia,Coffee ,Expressi Organic,$5.99,37c per capsule,https://www.aldi.com.au/en/groceries/pantry/coffee/coffee-detail/ps/p/expressi-organic/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/coffee/Expressi_2020/ALN2853_EXPRESSI_COFFEE_1x1_228x128_2.jpg,2020-09-09 04:03:46
 ALDI Australia,Coffee ,Expressi Calabrese,$5.99,37c per capsule,https://www.aldi.com.au/en/groceries/pantry/coffee/coffee-detail/ps/p/expressi-calabrese/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/coffee/Expressi_2020/ALN2853_EXPRESSI_COFFEE_1x1_228x128_3.jpg,2020-09-09 04:03:46
 ALDI Australia,Coffee ,Expressi Abruzzo,$5.99,37c per capsule,https://www.aldi.com.au/en/groceries/pantry/coffee/coffee-detail/ps/p/expressi-abruzzo/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/coffee/Expressi_2020/ALN2853_EXPRESSI_COFFEE_1x1_228x128_4.jpg,2020-09-09 04:03:46
 ALDI Australia,Coffee ,Expressi La Spezia,$5.99,37c per capsule,https://www.aldi.com.au/en/groceries/pantry/coffee/coffee-detail/ps/p/expressi-la-spezia/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/coffee/Expressi_2020/ALN2853_EXPRESSI_COFFEE_1x1_228x128_5.jpg,2020-09-09 04:03:46
 ALDI Australia,Coffee ,Expressi Torino,$5.99,37c per capsule,https://www.aldi.com.au/en/groceries/pantry/coffee/coffee-detail/ps/p/expressi-torino/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/coffee/Expressi_2020/ALN2853_EXPRESSI_COFFEE_1x1_228x128_6.jpg,2020-09-09 04:03:46
 ALDI Australia,Coffee ,Expressi Milano,$5.99,37c per capsule,https://www.aldi.com.au/en/groceries/pantry/coffee/coffee-detail/ps/p/expressi-milano/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/coffee/Expressi_2020/ALN2853_EXPRESSI_COFFEE_1x1_228x128_7.jpg,2020-09-09 04:03:46
 ALDI Australia,Coffee ,Expressi Reggio,$5.99,37c per capsule,https://www.aldi.com.au/en/groceries/pantry/coffee/coffee-detail/ps/p/expressi-reggio/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/coffee/Expressi_2020/ALN2853_EXPRESSI_COFFEE_1x1_228x128_8.jpg,2020-09-09 04:03:46
 ALDI Australia,Coffee ,Expressi Renzo,$5.99,37c per capsule,https://www.aldi.com.au/en/groceries/pantry/coffee/coffee-detail/ps/p/expressi-renzo/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/coffee/Expressi_2020/ALN2853_EXPRESSI_COFFEE_1x1_228x128_9.jpg,2020-09-09 04:03:46
 ALDI Australia,Coffee ,Expressi Decaffi,$5.99,37c per capsule,https://www.aldi.com.au/en/groceries/pantry/coffee/coffee-detail/ps/p/expressi-decaffi/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/coffee/Expressi_2020/ALN2853_EXPRESSI_COFFEE_1x1_228x128_10.jpg,2020-09-09 04:03:46
 ALDI Australia,Coffee ,Expressi Valletta,$5.99,37c per capsule,https://www.aldi.com.au/en/groceries/pantry/coffee/coffee-detail/ps/p/expressi-valletta/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/coffee/Expressi_2020/ALN2853_EXPRESSI_COFFEE_1x1_228x128_11.jpg,2020-09-09 04:03:46
 ALDI Australia,Coffee ,Expressi Tauro,$5.99,37c per capsule,https://www.aldi.com.au/en/groceries/pantry/coffee/coffee-detail/ps/p/expressi-tauro/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/coffee/Expressi_2020/ALN2853_EXPRESSI_COFFEE_1x1_228x128_12.jpg,2020-09-09 04:03:46
 ALDI Australia,Coffee ,Expressi Perugia,$5.99,37c per capsule,https://www.aldi.com.au/en/groceries/pantry/coffee/coffee-detail/ps/p/expressi-perugia/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/coffee/Expressi_2020/ALN2853_EXPRESSI_COFFEE_1x1_228x128_13.jpg,2020-09-09 04:03:46
 ALDI Australia,Coffee ,Expressi Intenzo,$5.99,37c per capsule,https://www.aldi.com.au/en/groceries/pantry/coffee/coffee-detail/ps/p/expressi-intenzo/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/coffee/Expressi_2020/ALN2853_EXPRESSI_COFFEE_1x1_228x128_15.jpg,2020-09-09 04:03:46
 ALDI Australia,Coffee ,Expressi Rich Hot Chocolate,$5.99,37c per capsule,https://www.aldi.com.au/en/groceries/pantry/coffee/coffee-detail/ps/p/expressi-rich-hot-chocolate/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/coffee/Expressi_2019/Expressi_September_Update/ALN2364_EXPRESSI_COFFEE_1x1_228x128_13.jpg,2020-09-09 04:03:46
 ALDI Australia,Coffee ,EXPRESSI Multi Beverage Capsule Machine -Titanium,$79.99,0,https://www.aldi.com.au/en/groceries/pantry/coffee/coffee-detail/ps/p/expressi-multi-beverage-capsule-machine-titanium/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/coffee/Expressi_2020/ALN2853_EXPRESSI_COFFEE_1x1_228x128_14.jpg,2020-09-09 04:03:46
 ALDI Australia,Coffee ,EXPRESSI Milk Frother,$29.99,0,https://www.aldi.com.au/en/groceries/pantry/coffee/coffee-detail/ps/p/expressi-milk-frother/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/coffee/ALC7235_1x1_228x128_9.jpg,2020-09-09 04:03:46
