supermarket,category,productname,price,baseprice,generalurl,imageurl,viewdate
 ALDI Australia,Just Organic ,Just Organic Pasta Sauces 500g,$2.49,50c per 100g,https://www.aldi.com.au/en/groceries/pantry/just-organic/just-organic-detail/ps/p/just-organic-pasta-sauces-500g/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Just_Organic_TM_/2020/Q2/ALN2745_Q2_WEB_AUDIT__JUST-ORGANIC__1x1_228x128_1.jpg,2020-09-09 04:03:44
 ALDI Australia,Just Organic ,Just Organic Passata 690g,$2.15,31c per 100g,https://www.aldi.com.au/en/groceries/pantry/just-organic/just-organic-detail/ps/p/just-organic-passata-690g/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Just_Organic_TM_/2019/Q1/ALN2230_Q1_ORGANIC_1x1_228x128_3.jpg,2020-09-09 04:03:44
 ALDI Australia,Just Organic ,Just Organic Penne Pasta 500g,$1.59,32c per 100g,https://www.aldi.com.au/en/groceries/pantry/just-organic/just-organic-detail/ps/p/just-organic-penne-pasta-500g/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Just_Organic_TM_/2019/Q3/ALN2460_Q3_WEB_AUDIT_Just_Organic__1x1_228x128_5.jpg,2020-09-09 04:03:44
 ALDI Australia,Just Organic ,Just Organic Baked Beans in Tomato Sauce 420g,99,24c per 100g,https://www.aldi.com.au/en/groceries/pantry/just-organic/just-organic-detail/ps/p/just-organic-baked-beans-in-tomato-sauce-420g/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Just_Organic_TM_/2020/Q2/ALN2745_Q2_WEB_AUDIT__JUST-ORGANIC__1x1_228x128_2.jpg,2020-09-09 04:03:44
 ALDI Australia,Just Organic ,Just Organic Quinoa – White or Tricolour 500g,$6.49,$1.00 per 100g,https://www.aldi.com.au/en/groceries/pantry/just-organic/just-organic-detail/ps/p/just-organic-quinoa-white-or-tricolour-500g/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Just_Organic_TM_/2020/ALN2670_Q1_WEB_AUDIT__JUST_ORGANIC__1x1_228x128_.jpg,2020-09-09 04:03:44
 ALDI Australia,Just Organic ,Just Organic Green Tea 50pk/75g,$2.49,$3.32 per 100g,https://www.aldi.com.au/en/groceries/pantry/just-organic/just-organic-detail/ps/p/just-organic-green-tea-50pk75g/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Just_Organic_TM_/2019/Q3/ALN2460_Q3_WEB_AUDIT_Just_Organic__1x1_228x128_2.jpg,2020-09-09 04:03:44
 ALDI Australia,Just Organic ,Just Organic Rooibos Tea 50pk/80g,$2.49,$3.11 per 100g,https://www.aldi.com.au/en/groceries/pantry/just-organic/just-organic-detail/ps/p/just-organic-rooibos-tea-50pk80g/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Just_Organic_TM_/2019/Q3/ALN2460_Q3_WEB_AUDIT_Just_Organic__1x1_228x128_3.jpg,2020-09-09 04:03:44
 ALDI Australia,Just Organic ,Just Organic Black Tea 50pk/100g,$2.49,$2.49 per 100g,https://www.aldi.com.au/en/groceries/pantry/just-organic/just-organic-detail/ps/p/just-organic-black-tea-50pk100g/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Just_Organic_TM_/2019/Q3/ALN2460_Q3_WEB_AUDIT_Just_Organic__1x1_228x128_4.jpg,2020-09-09 04:03:44
 ALDI Australia,Just Organic ,Organic Kombucha – Ginger & Lemon 330ml,$2.49,$6.03 per litre,https://www.aldi.com.au/en/groceries/pantry/just-organic/just-organic-detail/ps/p/organic-kombucha-ginger-lemon-330ml/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Just_Organic_TM_/2019/Q1/ALN2230_Q1_ORGANIC_1x1_228x128_7.jpg,2020-09-09 04:03:44
 ALDI Australia,Just Organic ,Organic Kombucha – Raspberry & Lemon 330ml,$2.49,$6.03 per litre,https://www.aldi.com.au/en/groceries/pantry/just-organic/just-organic-detail/ps/p/organic-kombucha-raspberry-lemon-330ml/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Just_Organic_TM_/2019/Q2/ALN2218_Q2_Just_Organic_Kombucha_Raspberry_Lemon_330ml_1x1_228x128.jpg,2020-09-09 04:03:44
