supermarket,category,productname,price,baseprice,generalurl,imageurl,viewdate
 ALDI Australia,Nappies and wipes ,MAMIA® Unisex Newborn Nappies,$3.99,14c per nappy,https://www.aldi.com.au/en/groceries/baby/nappies-and-wipes/nappies-and-wipes-detail/ps/p/mamia-unisex-newborn-nappies/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Baby/Products/2020/ALN2853_NAPPIES_1x1_228x128_.jpg,2020-09-09 17:25:53
 ALDI Australia,Nappies and wipes ,MAMIA® Unisex Infant Nappies,$9.99,17c per nappy,https://www.aldi.com.au/en/groceries/baby/nappies-and-wipes/nappies-and-wipes-detail/ps/p/mamia-unisex-infant-nappies/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Baby/Products/2020/ALN2853_NAPPIES_1x1_228x128_2.jpg,2020-09-09 17:25:53
 ALDI Australia,Nappies and wipes ,MAMIA® Unisex Crawler Nappies,$9.99,18c per nappy,https://www.aldi.com.au/en/groceries/baby/nappies-and-wipes/nappies-and-wipes-detail/ps/p/mamia-unisex-crawler-nappies/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Baby/Products/2020/ALN2853_NAPPIES_1x1_228x128_3.jpg,2020-09-09 17:25:53
 ALDI Australia,Nappies and wipes ,MAMIA® Unisex Toddler Nappies,$9.99,20c per nappy,https://www.aldi.com.au/en/groceries/baby/nappies-and-wipes/nappies-and-wipes-detail/ps/p/mamia-unisex-toddler-nappies/,https://www.aldi.com.au/fileadmin/_processed_/a/8/csm_ALN2853_NAPPIES_PD_388x314_4_ff7556fde2.jpg,2020-09-09 17:25:53
 ALDI Australia,Nappies and wipes ,MAMIA® Unisex Walker Nappies,$9.99,21c per nappy,https://www.aldi.com.au/en/groceries/baby/nappies-and-wipes/nappies-and-wipes-detail/ps/p/mamia-unisex-walker-nappies/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Baby/Products/2020/ALN2853_NAPPIES_1x1_228x128_5.jpg,2020-09-09 17:25:53
 ALDI Australia,Nappies and wipes ,MAMIA® Unisex Junior Nappies,$9.99,23c per nappy,https://www.aldi.com.au/en/groceries/baby/nappies-and-wipes/nappies-and-wipes-detail/ps/p/mamia-unisex-junior-nappies/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Baby/Products/2020/ALN2853_NAPPIES_1x1_228x128_6.jpg,2020-09-09 17:25:53
 ALDI Australia,Nappies and wipes ,Mamia Baby Wipes 80pk Scented,$1.89,$2.36 per 100 wipes,https://www.aldi.com.au/en/groceries/baby/nappies-and-wipes/nappies-and-wipes-detail/ps/p/mamia-baby-wipes-80pk-scented-1/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/baby_care/2019/ALN2147_1x1_BABYCARE_228x128_11.jpg,2020-09-09 17:25:53
 ALDI Australia,Nappies and wipes ,Mamia Baby Wipes 80pk Fragrance Free,$1.89,$2.36 per 100 wipes,https://www.aldi.com.au/en/groceries/baby/nappies-and-wipes/nappies-and-wipes-detail/ps/p/mamia-baby-wipes-80pk-fragrance-free/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/baby_care/2019/ALN2147_1x1_BABYCARE_228x128_10.jpg,2020-09-09 17:25:53
 ALDI Australia,Nappies and wipes ,Mamia Premium Baby Wipes Fragrance Free 240pk,$7.69,$3.20 per 100 wipes,https://www.aldi.com.au/en/groceries/baby/nappies-and-wipes/nappies-and-wipes-detail/ps/p/mamia-premium-baby-wipes-fragrance-free-240pk-1/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/baby_care/ALN1075_1x1_BABY_228x128_7.jpg,2020-09-09 17:25:53
 ALDI Australia,Nappies and wipes ,Mamia Baby Wipes 480pk Fragance free,$8.99,$1.87 per 100 wipes,https://www.aldi.com.au/en/groceries/baby/nappies-and-wipes/nappies-and-wipes-detail/ps/p/mamia-baby-wipes-480pk-fragance-free/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/baby_care/ALN1075_1x1_BABY_228x128_16.jpg,2020-09-09 17:25:53
 ALDI Australia,Nappies and wipes ,Mamia Baby Wipes Embossed Fragrance Free 80pk,$2.69,$3.36 per 100 wipes,https://www.aldi.com.au/en/groceries/baby/nappies-and-wipes/nappies-and-wipes-detail/ps/p/mamia-baby-wipes-embossed-fragrance-free-80pk/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/baby_care/ALN1075_AWARDS_BABY_1x1_228x128_3.jpg,2020-09-09 17:25:53
 ALDI Australia,Nappies and wipes ,Mamia Baby Wipes Embossed Scented 80pk,$2.69,$3.36 per 100 wipes,https://www.aldi.com.au/en/groceries/baby/nappies-and-wipes/nappies-and-wipes-detail/ps/p/mamia-baby-wipes-embossed-scented-80pk/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/baby_care/ALN1075_AWARDS_BABY_1x1_228x128_4.jpg,2020-09-09 17:25:53
