supermarket,category,productname,price,baseprice,generalurl,imageurl,viewdate
 ALDI Australia,Super Savers ,Berg Short Cut Bacon Spiced with Tabasco® Sauce Flavour 200g,$3.49,$17.45 per kg,https://www.aldi.com.au/en/groceries/super-savers/super-savers-detail/ps/p/berg-short-cut-bacon-spiced-with-tabasco-sauce-fla/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Super_Savers/2020/Weekly/WK37/W37_SUPER_SAVERS_MEAT_1x1.jpg,2020-09-09 04:03:28
 ALDI Australia,Super Savers ,The Fishmonger Salmon Gravlax 250g,$7.99,$31.96 per kg,https://www.aldi.com.au/en/groceries/super-savers/super-savers-detail/ps/p/the-fishmonger-salmon-gravlax-250g-1/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Super_Savers/2020/Weekly/WK37/W37_SUPER_SAVERS_MEAT_1x12.jpg,2020-09-09 04:03:28
 ALDI Australia,Super Savers ,"Specially Selected Prawn, Scallop & Lobster Bisque Pots 2pk/240g",$9.99,$41.63 per kg,https://www.aldi.com.au/en/groceries/super-savers/super-savers-detail/ps/p/specially-selected-prawn-scallop-lobster-bisque-po-2/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Super_Savers/2020/Weekly/WK37/W37_SUPER_SAVERS_MEAT_1x13.jpg,2020-09-09 04:03:28
 ALDI Australia,Super Savers ,Specially Selected Wagyu Beef Meatballs 420g,$5.99,$14.26 per kg,https://www.aldi.com.au/en/groceries/super-savers/super-savers-detail/ps/p/specially-selected-wagyu-beef-meatballs-420g-1/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Super_Savers/2020/Weekly/WK37/W37_SUPER_SAVERS_MEAT_1x14.jpg,2020-09-09 04:03:28
 ALDI Australia,Super Savers ,Three Aussie Farmers BBQ Pork Ribs per kg,$16.99,$16.99 per kg,https://www.aldi.com.au/en/groceries/super-savers/super-savers-detail/ps/p/three-aussie-farmers-bbq-pork-ribs-per-kg/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Super_Savers/2020/Weekly/WK37/W37_SUPER_SAVERS_MEAT_1x15.jpg,2020-09-09 04:03:28
 ALDI Australia,Super Savers ,Jindurra Station 3 Star Beef Mince per kg,$9.99,$9.99 per kg,https://www.aldi.com.au/en/groceries/super-savers/super-savers-detail/ps/p/jindurra-station-3-star-beef-mince-per-kg/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Super_Savers/2020/Q3_PRICE_SEPTEMBER/ALN2805-1_SS_1x1_228x128_SEPTEMBER_.jpg,2020-09-09 04:03:28
 ALDI Australia,Super Savers ,The Fishmonger Garlic Prawns 280g,$7.99,$28.54 per kg,https://www.aldi.com.au/en/groceries/super-savers/super-savers-detail/ps/p/the-fishmonger-garlic-prawns-280g/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Super_Savers/2020/Q3_PRICE_SEPTEMBER/ALN2805-1_SS_1x1_228x128_SEPTEMBER_2.jpg,2020-09-09 04:03:28
 ALDI Australia,Super Savers ,Brannans Butchery Chicken Drumsticks Honey Soy 1.5kg,$5.99,$3.99 per kg,https://www.aldi.com.au/en/groceries/super-savers/super-savers-detail/ps/p/brannans-butchery-chicken-drumsticks-honey-soy-15k/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Super_Savers/2020/Q3_PRICE_SEPTEMBER/ALN2805-1_SS_1x1_228x128_SEPTEMBER_3.jpg,2020-09-09 04:03:28
 ALDI Australia,Super Savers ,Yoguri Yogurt 170g,99,58c per 100g,https://www.aldi.com.au/en/groceries/super-savers/super-savers-detail/ps/p/yoguri-yogurt-170g/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Super_Savers/2020/Q3_PRICE_SEPTEMBER/ALN2805-1_SS_1x1_228x128_SEPTEMBER_4.jpg,2020-09-09 04:03:28
 ALDI Australia,Super Savers ,Monarc Utopia 4pk/428ml,$2.99,70c per 100ml,https://www.aldi.com.au/en/groceries/super-savers/super-savers-detail/ps/p/monarc-utopia-4pk428ml/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Super_Savers/2020/Q3_PRICE_SEPTEMBER/ALN2805-1_SS_1x1_228x128_SEPTEMBER_5.jpg,2020-09-09 04:03:28
 ALDI Australia,Super Savers ,Choceur Milk Chocolate Block 200g,$1.99,$1.00 per 100g,https://www.aldi.com.au/en/groceries/super-savers/super-savers-detail/ps/p/choceur-milk-chocolate-block-200g/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Super_Savers/2020/Q3_PRICE_SEPTEMBER/ALN2805-1_SS_1x1_228x128_SEPTEMBER_6.jpg,2020-09-09 04:03:28
 ALDI Australia,Super Savers ,Moser Roth Dark Chocolate Bars 125g,$1.99,$1.59 per 100g,https://www.aldi.com.au/en/groceries/super-savers/super-savers-detail/ps/p/moser-roth-dark-chocolate-bars-125g/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Super_Savers/2020/Q3_PRICE_SEPTEMBER/ALN2805-1_SS_1x1_228x128_SEPTEMBER_7.jpg,2020-09-09 04:03:28
 ALDI Australia,Super Savers ,Bakers Life Croissants 3pk/189g,$1.99,66c per each,https://www.aldi.com.au/en/groceries/super-savers/super-savers-detail/ps/p/bakers-life-croissants-3pk189g-1/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Super_Savers/2020/Q3_PRICE_SEPTEMBER/ALN2805-1_SS_1x1_228x128_SEPTEMBER_8.jpg,2020-09-09 04:03:28
 ALDI Australia,Super Savers ,Specially Selected Brioche Burger Buns 4pk/200g,$1.99,$1.00 per 100g,https://www.aldi.com.au/en/groceries/super-savers/super-savers-detail/ps/p/specially-selected-brioche-burger-buns-4pk200g-2/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Super_Savers/2020/Q3_PRICE_SEPTEMBER/ALN2805-1_SS_1x1_228x128_SEPTEMBER_9.jpg,2020-09-09 04:03:28
 ALDI Australia,Super Savers ,Has No Gluten Free Biscuits 180g,$2.29,$1.27 per 100g,https://www.aldi.com.au/en/groceries/super-savers/super-savers-detail/ps/p/has-no-gluten-free-biscuits-180g/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Super_Savers/2020/Q3_PRICE_SEPTEMBER/ALN2805-1_SS_1x1_228x128_SEPTEMBER_10.jpg,2020-09-09 04:03:28
 ALDI Australia,Super Savers ,Has No Gluten Free Coconut Macaroons 160g,$1.99,$1.24 per 100g,https://www.aldi.com.au/en/groceries/super-savers/super-savers-detail/ps/p/has-no-gluten-free-coconut-macaroons-160g-1/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Super_Savers/2020/Q3_PRICE_SEPTEMBER/ALN2805-1_SS_1x1_228x128_SEPTEMBER_11.jpg,2020-09-09 04:03:28
 ALDI Australia,Super Savers ,Hillcrest Premium Muesli Bars 6pk/270g,$2.99,$1.11 per 100g,https://www.aldi.com.au/en/groceries/super-savers/super-savers-detail/ps/p/hillcrest-premium-muesli-bars-6pk270g/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Super_Savers/2020/Q3_PRICE_SEPTEMBER/ALN2805-1_SS_1x1_228x128_SEPTEMBER_12.jpg,2020-09-09 04:03:28
 ALDI Australia,Super Savers ,Nescafé Blend 43 Instant Coffee 375g,$11.99,$3.20 per 100g,https://www.aldi.com.au/en/groceries/super-savers/super-savers-detail/ps/p/nescaf-blend-43-instant-coffee-375g/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Super_Savers/2020/Q3_PRICE_SEPTEMBER/ALN2805-1_SS_1x1_228x128_SEPTEMBER_13.jpg,2020-09-09 04:03:28
 ALDI Australia,Super Savers ,Almat Laundry Liquid Concentrate 2L,$3.99,$2.00 per litre,https://www.aldi.com.au/en/groceries/super-savers/super-savers-detail/ps/p/almat-laundry-liquid-concentrate-2l-3/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Super_Savers/2020/Q3_PRICE_SEPTEMBER/ALN2805-1_SS_1x1_228x128_SEPTEMBER_14.jpg,2020-09-09 04:03:28
