supermarket,category,productname,price,baseprice,generalurl,imageurl,viewdate
 ALDI Australia,Wine ,Villa Elsa Piemonte DOC Rosso 2018 750ml,$6.99,0,https://www.aldi.com.au/en/groceries/liquor/wine/wine-detail/ps/p/villa-elsa-piemonte-doc-rosso-2018-750ml/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Liquor/2020/Wine/ALN2865-3_VILLA-ELSA_1x1_228x128.jpg,2020-09-09 04:03:39
 ALDI Australia,Wine ,Blackstone Paddock Barossa Valley Shiraz 750ml,$17.99,0,https://www.aldi.com.au/en/groceries/liquor/wine/wine-detail/ps/p/blackstone-paddock-barossa-valley-shiraz-750ml/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Liquor/1_2019_Refresh/Wine/Products/ALN2364_AWARDS_WINE_1x1_228x128_25.jpg,2020-09-09 04:03:39
 ALDI Australia,Wine ,Blackstone Paddock “The Player” Barossa Valley Shiraz 750ml,$12.99,0,https://www.aldi.com.au/en/groceries/liquor/wine/wine-detail/ps/p/blackstone-paddock-the-player-barossa-valley-shira/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Liquor/1_2019_Refresh/Wine/Products/ALN2364_AWARDS_WINE_1x1_228x128_28.jpg,2020-09-09 04:03:39
 ALDI Australia,Wine ,The Tudor Central Victorian Shiraz 750ml,$12.99,0,https://www.aldi.com.au/en/groceries/liquor/wine/wine-detail/ps/p/the-tudor-central-victorian-shiraz-750ml-1/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Liquor/2020/Wine/ALN2670_Q1_WEB_AUDIT__WINE__1x1_228x128_4.jpg,2020-09-09 04:03:39
 ALDI Australia,Wine ,A.C. Byrne & Co McLaren Vale Shiraz 750ml,$9.99,0,https://www.aldi.com.au/en/groceries/liquor/wine/wine-detail/ps/p/ac-byrne-co-mclaren-vale-shiraz-750ml/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Liquor/2020/Wine/ALN2670_Q1_WEB_AUDIT__WINE__1x1_228x128_.jpg,2020-09-09 04:03:39
 ALDI Australia,Wine ,One Road South Australia & Heathcote Shiraz 750ml,$7.49,0,https://www.aldi.com.au/en/groceries/liquor/wine/wine-detail/ps/p/one-road-south-australia-heathcote-shiraz-750ml/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Liquor/1_2019_Refresh/Wine/Products/ALN2364_AWARDS_WINE_1x1_228x128_.jpg,2020-09-09 04:03:39
 ALDI Australia,Wine ,Taylors Special Release Clare Valley Shiraz 750ml,$14.99,0,https://www.aldi.com.au/en/groceries/liquor/wine/wine-detail/ps/p/taylors-special-release-clare-valley-shiraz-750ml/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Liquor/1_2019_Refresh/Wine/Products/Q4_2019/ALN2619_Q4_WEB_AUDIT_WINE_1x1_228x128_4.jpg,2020-09-09 04:03:39
 ALDI Australia,Wine ,Small Talk Shiraz 1L,$5.99,0,https://www.aldi.com.au/en/groceries/liquor/wine/wine-detail/ps/p/small-talk-shiraz-1l/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Liquor/2019/Wine/ALN2230_Q1_WINE_1x1_228x128_23.jpg,2020-09-09 04:03:39
 ALDI Australia,Wine ,Precious Earth Shiraz  750ml,$2.99,0,https://www.aldi.com.au/en/groceries/liquor/wine/wine-detail/ps/p/precious-earth-shiraz-750ml/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Liquor/2019/Wine/ALN2230_Q1_WINE_1x1_228x128_4.jpg,2020-09-09 04:03:39
 ALDI Australia,Wine ,Blackstone Paddock Margaret River Cabernet Sauvignon 750ml,$17.99,0,https://www.aldi.com.au/en/groceries/liquor/wine/wine-detail/ps/p/blackstone-paddock-margaret-river-cabernet-sauvign/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Liquor/1_2019_Refresh/Wine/Products/ALN2364_AWARDS_WINE_1x1_228x128_38_R.jpg,2020-09-09 04:03:39
