supermarket,category,product_name,product_id,price,cup_price,product_url,img_url,viewed_date
 ALDI Australia,Coffee ,Expressi Organic,alcoex1,$5.99,37c per capsule,https://www.aldi.com.au/en/groceries/pantry/coffee/coffee-detail/ps/p/expressi-organic/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/coffee/Expressi_2020/ALN2853_EXPRESSI_COFFEE_1x1_228x128_2.jpg,2020-09-10 20:19:54
 ALDI Australia,Coffee ,Expressi Calabrese,alcoex2,$5.99,37c per capsule,https://www.aldi.com.au/en/groceries/pantry/coffee/coffee-detail/ps/p/expressi-calabrese/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/coffee/Expressi_2020/ALN2853_EXPRESSI_COFFEE_1x1_228x128_3.jpg,2020-09-10 20:19:54
 ALDI Australia,Coffee ,Expressi Abruzzo,alcoex3,$5.99,37c per capsule,https://www.aldi.com.au/en/groceries/pantry/coffee/coffee-detail/ps/p/expressi-abruzzo/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/coffee/Expressi_2020/ALN2853_EXPRESSI_COFFEE_1x1_228x128_4.jpg,2020-09-10 20:19:54
 ALDI Australia,Coffee ,Expressi La Spezia,alcoex4,$5.99,37c per capsule,https://www.aldi.com.au/en/groceries/pantry/coffee/coffee-detail/ps/p/expressi-la-spezia/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/coffee/Expressi_2020/ALN2853_EXPRESSI_COFFEE_1x1_228x128_5.jpg,2020-09-10 20:19:54
 ALDI Australia,Coffee ,Expressi Torino,alcoex5,$5.99,37c per capsule,https://www.aldi.com.au/en/groceries/pantry/coffee/coffee-detail/ps/p/expressi-torino/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/coffee/Expressi_2020/ALN2853_EXPRESSI_COFFEE_1x1_228x128_6.jpg,2020-09-10 20:19:54
 ALDI Australia,Coffee ,Expressi Milano,alcoex6,$5.99,37c per capsule,https://www.aldi.com.au/en/groceries/pantry/coffee/coffee-detail/ps/p/expressi-milano/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/coffee/Expressi_2020/ALN2853_EXPRESSI_COFFEE_1x1_228x128_7.jpg,2020-09-10 20:19:54
 ALDI Australia,Coffee ,Expressi Reggio,alcoex7,$5.99,37c per capsule,https://www.aldi.com.au/en/groceries/pantry/coffee/coffee-detail/ps/p/expressi-reggio/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/coffee/Expressi_2020/ALN2853_EXPRESSI_COFFEE_1x1_228x128_8.jpg,2020-09-10 20:19:54
 ALDI Australia,Coffee ,Expressi Renzo,alcoex8,$5.99,37c per capsule,https://www.aldi.com.au/en/groceries/pantry/coffee/coffee-detail/ps/p/expressi-renzo/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/coffee/Expressi_2020/ALN2853_EXPRESSI_COFFEE_1x1_228x128_9.jpg,2020-09-10 20:19:54
 ALDI Australia,Coffee ,Expressi Decaffi,alcoex9,$5.99,37c per capsule,https://www.aldi.com.au/en/groceries/pantry/coffee/coffee-detail/ps/p/expressi-decaffi/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/coffee/Expressi_2020/ALN2853_EXPRESSI_COFFEE_1x1_228x128_10.jpg,2020-09-10 20:19:54
 ALDI Australia,Coffee ,Expressi Valletta,alcoex10,$5.99,37c per capsule,https://www.aldi.com.au/en/groceries/pantry/coffee/coffee-detail/ps/p/expressi-valletta/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/coffee/Expressi_2020/ALN2853_EXPRESSI_COFFEE_1x1_228x128_11.jpg,2020-09-10 20:19:54
