id,supermarket,category,product_name,product_id,price,cup_price,product_url,img_url,viewed_date,ratings,rating_count,product_specials,available_in_stock
1, ALDI Australia,Dairy & Eggs ,Farmdale Lactose Free Full Cream Milk 1L,aldafa1,$1.99,$1.99 per litre,https://www.aldi.com.au/en/groceries/fresh-produce/dairy-eggs/dairy-eggs-detail/ps/p/farmdale-lactose-free-full-cream-milk-1l-1/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Fresh_Produce/Dairy_Eggs/Products/ALN2364_AWARDS_DAIRY_1x1_228x128_18.jpg,2020-09-20 19:33:43,null,null,null,true
2, ALDI Australia,Dairy & Eggs ,Farmdale RAM Coffee Flavoured Milk 2L,aldafa2,$3.49,$1.75 per litre,https://www.aldi.com.au/en/groceries/fresh-produce/dairy-eggs/dairy-eggs-detail/ps/p/farmdale-ram-coffee-flavoured-milk-2l-1/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Fresh_Produce/Dairy_Eggs/Products/ALN2364_AWARDS_DAIRY_1x1_228x128_20.jpg,2020-09-20 19:33:43,null,null,null,true
3, ALDI Australia,Dairy & Eggs ,Farmdale RAM Chocolate Flavoured Milk 600ml,aldafa3,$1.99,$3.32 per Litre,https://www.aldi.com.au/en/groceries/fresh-produce/dairy-eggs/dairy-eggs-detail/ps/p/farmdale-ram-chocolate-flavoured-milk-600ml-1/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Fresh_Produce/Dairy_Eggs/Products/ALN2364_AWARDS_DAIRY_1x1_228x128_21.jpg,2020-09-20 19:33:43,null,null,null,true
4, ALDI Australia,Dairy & Eggs ,Farmdale RAM Iced coffee Flavoured Milk 600ml,aldafa4,$1.99,$3.32 per Litre,https://www.aldi.com.au/en/groceries/fresh-produce/dairy-eggs/dairy-eggs-detail/ps/p/farmdale-ram-iced-coffee-flavoured-milk-600ml/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Fresh_Produce/Dairy_Eggs/Products/ALN2364_AWARDS_DAIRY_1x1_228x128_22.jpg,2020-09-20 19:33:43,null,null,null,true
5, ALDI Australia,Dairy & Eggs ,Farmdale Full Cream Milk Powder 1kg,aldafa5,$5.69,$5.69 per kg,https://www.aldi.com.au/en/groceries/fresh-produce/dairy-eggs/dairy-eggs-detail/ps/p/farmdale-full-cream-milk-powder-1kg-1/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Fresh_Produce/Dairy_Eggs/Products/ALN2364_AWARDS_DAIRY_1x1_228x128_23.jpg,2020-09-20 19:33:43,null,null,null,true
6, ALDI Australia,Dairy & Eggs ,Farmdale Skim Milk Powder 1kg,aldafa6,$5.69,$5.69 per kg,https://www.aldi.com.au/en/groceries/fresh-produce/dairy-eggs/dairy-eggs-detail/ps/p/farmdale-skim-milk-powder-1kg-1/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Fresh_Produce/Dairy_Eggs/Products/Q3_2020/ALN2853_AWARDS_MILK_1x1_228x128_.jpg,2020-09-20 19:33:43,null,null,null,true
7, ALDI Australia,Dairy & Eggs ,Lodge Farm Free Range Eggs 12 Pack 600g,aldalo7,$3.99,67c per 100g,https://www.aldi.com.au/en/groceries/fresh-produce/dairy-eggs/dairy-eggs-detail/ps/p/lodge-farm-free-range-eggs-12-pack-600g/,https://www.aldi.com.au/fileadmin/fm-dam/images/CANSTAR/2020/Products/ALN2783_CANSTAR-AWARD-EGGS_1x1_228x128_.jpg,2020-09-20 19:33:43,null,null,null,true
8, ALDI Australia,Dairy & Eggs ,Lodge Farm Free Range Eggs 12 Pack 700g,aldalo8,$4.29,61c per 100g,https://www.aldi.com.au/en/groceries/fresh-produce/dairy-eggs/dairy-eggs-detail/ps/p/lodge-farm-free-range-eggs-12-pack-700g/,https://www.aldi.com.au/fileadmin/fm-dam/images/CANSTAR/2020/Products/ALN2783_CANSTAR-AWARD-EGGS_1x1_228x128_2.jpg,2020-09-20 19:33:43,null,null,null,true
9, ALDI Australia,Dairy & Eggs ,Just Organic Free Range Eggs 6 Pack 300g,aldaju9,$3.99,$1.33 per 100g,https://www.aldi.com.au/en/groceries/fresh-produce/dairy-eggs/dairy-eggs-detail/ps/p/just-organic-free-range-eggs-6-pack-300g/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/dairy/2020/ALN2670_Q1_WEB_AUDIT__DAIRY_EGGS__1x1_228x128_5.jpg,2020-09-20 19:33:43,null,null,null,true
10, ALDI Australia,Dairy & Eggs ,Beautifully Butterfully Dairy Blend 500g,aldabe10,$3.49,70c per 100g,https://www.aldi.com.au/en/groceries/fresh-produce/dairy-eggs/dairy-eggs-detail/ps/p/beautifully-butterfully-spreadable-dairy-blend-500-2/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/dairy/ALN2619_Q4_WEB_AUDIT_DAIRY_1x1_228x128_2.jpg,2020-09-20 19:33:43,null,null,null,true
