supermarket,category,productname,price,baseprice,generalurl,imageurl,viewdate
 ALDI Australia,Health ,Dentitex Advanced Whitening Toothpaste,$1.79,$1.28 per 100g,https://www.aldi.com.au/en/groceries/health/health-detail/ps/p/dentitex-advanced-whitening-toothpaste/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Health/Products/ALN2364-7_HEALTH_1x1_228x128_.jpg,2020-09-09 17:25:51
 ALDI Australia,Health ,Dentitex Sensitive Plus Whitening Toothpaste,$4.49,$4.08 per 100g,https://www.aldi.com.au/en/groceries/health/health-detail/ps/p/dentitex-sensitive-plus-whitening-toothpaste/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Health/Products/ALN2364-7_HEALTH_1x1_228x128_5.jpg,2020-09-09 17:25:51
 ALDI Australia,Health ,Dentitex Interdental Pro Toothbrush 2pk,$1.99,$1.00 per unit,https://www.aldi.com.au/en/groceries/health/health-detail/ps/p/dentitex-interdental-pro-toothbrush-2pk/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Health/Products/ALN2853_HEALTH_1x1_228x128_4.jpg,2020-09-09 17:25:51
 ALDI Australia,Health ,Dentitex Orbit Toothbrush 2pk,$2.99,$1.50 per unit,https://www.aldi.com.au/en/groceries/health/health-detail/ps/p/dentitex-orbit-toothbrush-2pk/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Health/Products/ALN2364-7_HEALTH_1x1_228x128_3.jpg,2020-09-09 17:25:51
 ALDI Australia,Health ,Dentitex Mouthwash 1L,$4.19,42c per 100mL,https://www.aldi.com.au/en/groceries/health/health-detail/ps/p/dentitex-mouthwash-1l/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Health/Products/ALN2853_HEALTH_1x1_228x128_5.jpg,2020-09-09 17:25:51
 ALDI Australia,Health ,Essential Health Paw Paw Ointment,$2.79,$11.16 per 100g,https://www.aldi.com.au/en/groceries/health/health-detail/ps/p/essential-health-paw-paw-ointment/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Health/Products/ALN2364-7_HEALTH_1x1_228x128_6.jpg,2020-09-09 17:25:51
 ALDI Australia,Health ,Green Action Eucalyptus Oil 100ml,$6.99,$6.99 per 100ml,https://www.aldi.com.au/en/groceries/health/health-detail/ps/p/green-action-eucalyptus-oil-100ml/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Health/Products/ALN2853_HEALTH_1x1_228x128_2.jpg,2020-09-09 17:25:51
 ALDI Australia,Health ,Hedafen Ibuprofen 24pk,$1.49,6c per tablet,https://www.aldi.com.au/en/groceries/health/health-detail/ps/p/hedafen-ibuprofen-24pk/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Health/Products/ALN2364-7_HEALTH_1x1_228x128_7.jpg,2020-09-09 17:25:51
 ALDI Australia,Health ,Hedafen Ibuprofen Liquid Capsules 20pk,$2.39,12c per capsule,https://www.aldi.com.au/en/groceries/health/health-detail/ps/p/hedafen-ibuprofen-liquid-capsules-20pk/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Health/Products/ALN2364-7_HEALTH_1x1_228x128_8.jpg,2020-09-09 17:25:51
 ALDI Australia,Health ,Hedanol Paracetamol Capsule Shaped Tablets 20pk,69,3c per tablet,https://www.aldi.com.au/en/groceries/health/health-detail/ps/p/hedanol-paracetamol-capsule-shaped-tablets-20pk/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Health/Products/ALN2364-7_HEALTH_1x1_228x128_9.jpg,2020-09-09 17:25:51
 ALDI Australia,Health ,"Essential Health Effervescents with Vitamins B+C, Calcium, Magnesium & Zinc",$4.49,30c per tablet,https://www.aldi.com.au/en/groceries/health/health-detail/ps/p/essential-health-effervescents-with-vitamins-b-c-c/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Health/Products/ALN2364-7_HEALTH_1x1_228x128_10.jpg,2020-09-09 17:25:51
 ALDI Australia,Health ,Essential Health Electrolytes 20pk,$5.49,27c per tablet,https://www.aldi.com.au/en/groceries/health/health-detail/ps/p/essential-health-electrolytes-20pk/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Health/Products/ALN2853_HEALTH_1x1_228x128_.jpg,2020-09-09 17:25:51
 ALDI Australia,Health ,Essential Health First Aid Strips Plastic 100pk / Fabric 50pk,$1.99,2c-4c per strip,https://www.aldi.com.au/en/groceries/health/health-detail/ps/p/essential-health-first-aid-strips-plastic-100pk-fa/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Health/Products/ALN2364-7_HEALTH_1x1_228x128_11.jpg,2020-09-09 17:25:51
 ALDI Australia,Health ,Essential Health Meal Replacement Shakes,$1.99,$3.62 per 100g,https://www.aldi.com.au/en/groceries/health/health-detail/ps/p/essential-health-meal-replacement-shakes/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Health/Products/ALN2364-7_HEALTH_1x1_228x128_12.jpg,2020-09-09 17:25:51
 ALDI Australia,Health ,Essential Health Protein Bar 30g,$1.49,$4.97 per 100g,https://www.aldi.com.au/en/groceries/health/health-detail/ps/p/essential-health-protein-bar-30g-1/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Health/Products/ALN2364-7_HEALTH_1x1_228x128_13.jpg,2020-09-09 17:25:51
 ALDI Australia,Health ,Onset Chocolate Protein Bars 51g-57g,$2.99,$5.86-$5.25 per 100g,https://www.aldi.com.au/en/groceries/health/health-detail/ps/p/onset-chocolate-protein-bars-51g-57g-1/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Health/Products/ALN2853_HEALTH_1x1_228x128_3.jpg,2020-09-09 17:25:51
