supermarket,category,productname,price,baseprice,generalurl,imageurl,viewdate
 ALDI Australia,Laundry ,Trimat Advanced Laundry Liquid 1L – Regular,$3.99,$3.99 per Litre,https://www.aldi.com.au/en/groceries/laundry-household/laundry/skin-care-detail/ps/p/trimat-advanced-laundry-liquid-1l-regular-2/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Award_Winning_Products/Household/Laundry/ALN2853_AWARDS_HOME_CLEANING_1x1_228x128_.jpg,2020-09-09 17:25:52
 ALDI Australia,Laundry ,Trimat Advanced Laundry Liquid 1L – Sensitive,$3.99,$3.99 per Litre,https://www.aldi.com.au/en/groceries/laundry-household/laundry/skin-care-detail/ps/p/trimat-advanced-laundry-liquid-1l-sensitive-2/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Award_Winning_Products/Household/Laundry/ALN2853_AWARDS_HOME_CLEANING_1x1_228x128_2.jpg,2020-09-09 17:25:52
 ALDI Australia,Laundry ,Trimat Advanced Laundry Powder Concentrate 1.5kg – Regular,$5.79,$3.86 per kg,https://www.aldi.com.au/en/groceries/laundry-household/laundry/skin-care-detail/ps/p/trimat-advanced-laundry-powder-concentrate-15kg-re-1/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Award_Winning_Products/Household/Laundry/ALN2853_AWARDS_HOME_CLEANING_1x1_228x128_3.jpg,2020-09-09 17:25:52
 ALDI Australia,Laundry ,Trimat Advanced Laundry Powder Concentrate 1.5kg – Colour Care,$5.79,$3.86 per kg,https://www.aldi.com.au/en/groceries/laundry-household/laundry/skin-care-detail/ps/p/trimat-advanced-laundry-powder-concentrate-15kg-co-1/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Award_Winning_Products/Household/Laundry/ALN2853_AWARDS_HOME_CLEANING_1x1_228x128_4.jpg,2020-09-09 17:25:52
 ALDI Australia,Laundry ,Trimat Advanced Laundry Powder Concentrate 1.5kg – Sensitive,$5.79,$3.86 per kg,https://www.aldi.com.au/en/groceries/laundry-household/laundry/skin-care-detail/ps/p/trimat-advanced-laundry-powder-concentrate-15kg-se/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Award_Winning_Products/Household/Laundry/ALN2853_AWARDS_HOME_CLEANING_1x1_228x128_5.jpg,2020-09-09 17:25:52
 ALDI Australia,Laundry ,Almat Laundry Powder Concentrate 2kg,$4.99,$2.50 per kg,https://www.aldi.com.au/en/groceries/laundry-household/laundry/skin-care-detail/ps/p/almat-laundry-powder-concentrate-2kg-2/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Laundry_Household/Laundry/Products/ALN2364_AWARDS_HOME_CLEANING_1x1_228x128_9.jpg,2020-09-09 17:25:52
 ALDI Australia,Laundry ,Almat Laundry Liquid Concentrate 2L,$3.99,$2.00 per litre,https://www.aldi.com.au/en/groceries/laundry-household/laundry/skin-care-detail/ps/p/almat-laundry-liquid-concentrate-2l-3/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Super_Savers/2020/Q3_PRICE_SEPTEMBER/ALN2805-1_SS_1x1_228x128_SEPTEMBER_14.jpg,2020-09-09 17:25:52
 ALDI Australia,Laundry ,Di San Pre Wash Stain Remover 500ml – Degreaser,0,0,https://www.aldi.com.au/en/groceries/laundry-household/laundry/skin-care-detail/ps/p/di-san-pre-wash-stain-remover-500ml-degreaser-2/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Laundry_Household/Laundry/Products/ALN2364_AWARDS_HOME_CLEANING_1x1_228x128_3.jpg,2020-09-09 17:25:52
 ALDI Australia,Laundry ,Di San Laundry Sanitiser 1L,$3.69,$3.69 per Litre,https://www.aldi.com.au/en/groceries/laundry-household/laundry/skin-care-detail/ps/p/di-san-laundry-sanitiser-1l-1/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Award_Winning_Products/Household/2019/Q2/ALN2362_Di_San_Laundry_Sanitiser_1L_1x1_228x128.jpg,2020-09-09 17:25:52
 ALDI Australia,Laundry ,Anco Soft Fabric Softener 4x Concentrate 1L,$3.59,$3.59 per litre,https://www.aldi.com.au/en/groceries/laundry-household/laundry/skin-care-detail/ps/p/anco-soft-fabric-softener-4x-concentrate-1l-1/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/laundry/2019/Q1/ALN2230_Q1_LAUNDRY_1x1_228x128_4.jpg,2020-09-09 17:25:52
 ALDI Australia,Laundry ,Anco Soft Fabric Softener Concentrate 250ml,99,$3.96 per Litre,https://www.aldi.com.au/en/groceries/laundry-household/laundry/skin-care-detail/ps/p/anco-soft-fabric-softener-concentrate-250ml-1/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/laundry/2019/ALN2147_Q4_LAUNDRY_1x1_228x128_2.jpg,2020-09-09 17:25:52
 ALDI Australia,Laundry ,Anco Soft Fabric Softener 2L,$2.79,$1.40 per Litre,https://www.aldi.com.au/en/groceries/laundry-household/laundry/skin-care-detail/ps/p/anco-soft-fabric-softener-2l-1/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/laundry/2019/Q1/ALN2230_Q1_LAUNDRY_1x1_228x128_5.jpg,2020-09-09 17:25:52
 ALDI Australia,Laundry ,Green Action Laundry Liquid 1L,$1.99,$1.99 per litre,https://www.aldi.com.au/en/groceries/laundry-household/laundry/skin-care-detail/ps/p/green-action-laundry-liquid-1l-1/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/laundry/2019/Q1/ALN2230_Q1_LAUNDRY_1x1_228x128_7.jpg,2020-09-09 17:25:52
