id,supermarket,category,product_name,product_id,price,cup_price,product_url,img_url,viewed_date,ratings,rating_count,product_specials,available_in_stock
1, ALDI Australia,Nappies and wipes ,MAMIA® Unisex Newborn Nappies,alnama1,$3.99,14c per nappy,https://www.aldi.com.au/en/groceries/baby/nappies-and-wipes/nappies-and-wipes-detail/ps/p/mamia-unisex-newborn-nappies/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Baby/Products/2020/ALN2853_NAPPIES_1x1_228x128_.jpg,2020-09-20 19:33:51,null,null,null,true
2, ALDI Australia,Nappies and wipes ,MAMIA® Unisex Infant Nappies,alnama2,$9.99,17c per nappy,https://www.aldi.com.au/en/groceries/baby/nappies-and-wipes/nappies-and-wipes-detail/ps/p/mamia-unisex-infant-nappies/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Baby/Products/2020/ALN2853_NAPPIES_1x1_228x128_2.jpg,2020-09-20 19:33:51,null,null,null,true
3, ALDI Australia,Nappies and wipes ,MAMIA® Unisex Crawler Nappies,alnama3,$9.99,18c per nappy,https://www.aldi.com.au/en/groceries/baby/nappies-and-wipes/nappies-and-wipes-detail/ps/p/mamia-unisex-crawler-nappies/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Baby/Products/2020/ALN2853_NAPPIES_1x1_228x128_3.jpg,2020-09-20 19:33:51,null,null,null,true
4, ALDI Australia,Nappies and wipes ,MAMIA® Unisex Toddler Nappies,alnama4,$9.99,20c per nappy,https://www.aldi.com.au/en/groceries/baby/nappies-and-wipes/nappies-and-wipes-detail/ps/p/mamia-unisex-toddler-nappies/,https://www.aldi.com.au/fileadmin/_processed_/a/8/csm_ALN2853_NAPPIES_PD_388x314_4_ff7556fde2.jpg,2020-09-20 19:33:51,null,null,null,true
5, ALDI Australia,Nappies and wipes ,MAMIA® Unisex Walker Nappies,alnama5,$9.99,21c per nappy,https://www.aldi.com.au/en/groceries/baby/nappies-and-wipes/nappies-and-wipes-detail/ps/p/mamia-unisex-walker-nappies/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Baby/Products/2020/ALN2853_NAPPIES_1x1_228x128_5.jpg,2020-09-20 19:33:51,null,null,null,true
6, ALDI Australia,Nappies and wipes ,MAMIA® Unisex Junior Nappies,alnama6,$9.99,23c per nappy,https://www.aldi.com.au/en/groceries/baby/nappies-and-wipes/nappies-and-wipes-detail/ps/p/mamia-unisex-junior-nappies/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/Baby/Products/2020/ALN2853_NAPPIES_1x1_228x128_6.jpg,2020-09-20 19:33:51,null,null,null,true
7, ALDI Australia,Nappies and wipes ,Mamia Baby Wipes 80pk Scented,alnama7,$1.89,$2.36 per 100 wipes,https://www.aldi.com.au/en/groceries/baby/nappies-and-wipes/nappies-and-wipes-detail/ps/p/mamia-baby-wipes-80pk-scented-1/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/baby_care/2019/ALN2147_1x1_BABYCARE_228x128_11.jpg,2020-09-20 19:33:51,null,null,null,true
8, ALDI Australia,Nappies and wipes ,Mamia Baby Wipes 80pk Fragrance Free,alnama8,$1.89,$2.36 per 100 wipes,https://www.aldi.com.au/en/groceries/baby/nappies-and-wipes/nappies-and-wipes-detail/ps/p/mamia-baby-wipes-80pk-fragrance-free/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/baby_care/2019/ALN2147_1x1_BABYCARE_228x128_10.jpg,2020-09-20 19:33:51,null,null,null,true
9, ALDI Australia,Nappies and wipes ,Mamia Premium Baby Wipes Fragrance Free 240pk,alnama9,$7.69,$3.20 per 100 wipes,https://www.aldi.com.au/en/groceries/baby/nappies-and-wipes/nappies-and-wipes-detail/ps/p/mamia-premium-baby-wipes-fragrance-free-240pk-1/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/baby_care/ALN1075_1x1_BABY_228x128_7.jpg,2020-09-20 19:33:51,null,null,null,true
10, ALDI Australia,Nappies and wipes ,Mamia Baby Wipes 480pk Fragance free,alnama10,$8.99,$1.87 per 100 wipes,https://www.aldi.com.au/en/groceries/baby/nappies-and-wipes/nappies-and-wipes-detail/ps/p/mamia-baby-wipes-480pk-fragance-free/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/baby_care/ALN1075_1x1_BABY_228x128_16.jpg,2020-09-20 19:33:51,null,null,null,true
11, ALDI Australia,Nappies and wipes ,Mamia Baby Wipes Embossed Fragrance Free 80pk,alnama11,$2.69,$3.36 per 100 wipes,https://www.aldi.com.au/en/groceries/baby/nappies-and-wipes/nappies-and-wipes-detail/ps/p/mamia-baby-wipes-embossed-fragrance-free-80pk/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/baby_care/ALN1075_AWARDS_BABY_1x1_228x128_3.jpg,2020-09-20 19:33:51,null,null,null,true
12, ALDI Australia,Nappies and wipes ,Mamia Baby Wipes Embossed Scented 80pk,alnama12,$2.69,$3.36 per 100 wipes,https://www.aldi.com.au/en/groceries/baby/nappies-and-wipes/nappies-and-wipes-detail/ps/p/mamia-baby-wipes-embossed-scented-80pk/,https://www.aldi.com.au/fileadmin/fm-dam/Products/Groceries/baby_care/ALN1075_AWARDS_BABY_1x1_228x128_4.jpg,2020-09-20 19:33:51,null,null,null,true
